Phys_X,Phys_Y,Chip_X,Chip_Y,Chip_ID,RA,DEC,Offaxis_Angle
5902.21,2866.723333,103.820087588,414.945810057,5,53.09303818944272,-36.30720180897921,17.9144250663
5939.543333,2866.056667,71.7194575483,434.117284059,5,53.08670655743092,-36.30727660421292,18.1712963054
5926.21,2881.39,91.1643570531,440.106973674,5,53.0889760317227,-36.30518696181876,18.0106102161
5991.543333,2926.723333,59.5714133399,513.199509451,5,53.07792203838357,-36.29896241226245,18.2612976154
5999.876667,2927.39,52.8372214246,518.172300251,5,53.07650933574497,-36.29886751359413,18.3166168054
6034.21,2944.39,32.6276597092,550.780886451,5,53.07069721442805,-36.29652844744648,18.4854619585
5801.21,2952.39,235.00015267,434.395392876,5,53.11020979472876,-36.29553673477167,16.8348945434
6031.21,2960.59,43.7432755522,562.970890055,5,53.07121518194829,-36.29431589086199,18.3967109049
6069.71,2964.89,13.2763275245,586.982581182,5,53.064689670062,-36.29371022860463,18.6520664285
6102.21,2988.056667,-2.11402473445,623.865810471,5,53.05919279978995,-36.29052871666837,18.7910914855
6030.71,2996.39,63.0948174897,593.150071094,5,53.07132045256979,-36.28942357050042,18.246275739
5854.81,3000.59,214.900577232,503.722451079,5,53.10114631499922,-36.28892731733131,16.9892500829
5721.21,3005.723333,331.228600882,437.452307336,5,53.12380047820157,-36.28827986668102,16.0465026629
5887.21,3006.39,190.413837158,525.7847481,5,53.09565602678058,-36.28812090538586,17.1905110795
5969.71,3006.39,120.25579046,569.402931087,5,53.0816684678888,-36.28808473049476,17.7718269647
5601.21,3030.39,446.318528491,394.983106108,5,53.14415718582062,-36.28495375372822,15.1216067492
6078.21,3033.39,42.2617365463,649.727442291,5,53.06328859786827,-36.28434476273186,18.4404862453
5712.543333,3034.39,353.754190611,457.24778202,5,53.12528359670767,-36.2843655206955,15.8572410343
6031.21,3043.39,87.517079635,633.382231158,5,53.07126258301249,-36.28300015302165,18.0624505959
5869.96,3050.14,228.212720158,553.868724519,5,53.09860365921516,-36.2821492176046,16.8847566361
5669.543333,3076.056667,412.350035505,469.945895638,5,53.13259316847222,-36.27868758198559,15.3752143784
5632.71,3083.39,447.550513246,456.707877339,5,53.13884074376026,-36.27769907720216,15.089536399
5671.876667,3084.723333,414.947617981,478.549547591,5,53.13220164459253,-36.27750227854725,15.352749997
5772.21,3088.39,331.561679104,534.714744651,5,53.11519454885779,-36.27696215399605,16.0356326517
5770.81,3096.19,336.875922894,540.607543245,5,53.11543574380408,-36.2758967342203,15.9928995682
5627.876667,3123.723333,472.984237395,488.451304656,5,53.1396783839881,-36.27218871613638,14.87654443
5523.71,3126.39,562.978997062,435.644872196,5,53.15733713384549,-36.2718611381971,14.1506631818
5879.21,3128.64,261.847367184,625.514244858,5,53.09707687054474,-36.27141715926824,16.6335614509
5601.96,3129.39,498.019989844,479.567736168,5,53.14407411966879,-36.27142369711164,14.6724391676
5624.21,3148.89,489.407529153,507.914075197,5,53.14031130289989,-36.26875066633667,14.7413627048
5816.96,3156.89,329.720230475,616.625660328,5,53.10764326954888,-36.26758247802443,16.0744965195
5580.876667,3169.723333,537.273035511,502.719664563,5,53.14766569245337,-36.26591909542351,14.3494224992
5336.543333,3188.723333,755.104162752,389.69468983,5,53.18908717828158,-36.26340205928737,12.6017347824
5472.96,3199.89,644.995952465,471.316189851,5,53.16596982472996,-36.26183328942413,13.4702915305
5619.21,3202.89,522.208343889,551.191405446,5,53.14118314676806,-36.26137260068715,14.4774656867
5652.876667,3204.056667,494.194497239,569.983410273,5,53.13547753673923,-36.26120076471043,14.7114584881
5528.46,3211.89,604.141852092,510.864391606,5,53.15656815585992,-36.26017467566313,13.8018785427
5498.21,3230.14,639.515519668,510.390450683,5,53.16170271311835,-36.25769078935272,13.5122032583
5504.21,3234.056667,636.483675484,516.893414618,5,53.16068745101633,-36.25715350333738,13.5372731147
5352.96,3239.64,768.061985794,441.673488289,5,53.18632355320995,-36.25643862646431,12.4706890287
5276.543333,3246.723333,836.793666677,407.294376444,5,53.19927711808629,-36.25549283777438,11.9241807534
5286.21,3252.39,831.568761132,417.224192554,5,53.19764082401495,-36.25471566296961,11.9616455528
5255.21,3258.056667,860.92796336,405.652858892,5,53.202896531955,-36.25394992816297,11.7279501047
5617.96,3261.14,554.06704381,600.065615514,5,53.1414212120068,-36.25341233663122,14.2326879032
5235.876667,3266.39,881.77535667,402.517595124,5,53.20617585089009,-36.25281636088967,11.5595188615
5240.543333,3273.39,881.507511778,410.937692531,5,53.20538734765543,-36.25185842977307,11.5568527851
5296.21,3278.723333,836.986613609,444.905015835,5,53.1959554009768,-36.25111395477068,11.9056711978
5558.543333,3278.39,613.715827756,583.320652111,5,53.15149815910814,-36.25107605604746,13.7379854457
5528.21,3301.39,651.67162908,586.8420681,5,53.15664841035287,-36.24794325319506,13.4289018208
5582.71,3300.39,604.795056073,614.806383501,5,53.14741236017858,-36.24806091413057,13.8251626648
5247.21,3308.89,894.606473266,444.65143287,5,53.20426962161541,-36.24700498061517,11.434366135
5545.46,3323.14,648.500746881,614.458318259,5,53.15373452626339,-36.24496485262527,13.4678432848
